full_text,label,tweet_tokens,tweet_tokens_wsw,tweet_tokens_stemmed
aku ga pernah punya pengalaman serupa tapi bea cukai tuh kerjaannya apaan dah liat berita seliweran kaya nguras duit orang anjir pernah liat ada yg dikasih pajak  lipat dari harga barang,0,"['aku', 'ga', 'pernah', 'punya', 'pengalaman', 'serupa', 'tapi', 'bea', 'cukai', 'tuh', 'kerjaannya', 'apaan', 'dah', 'liat', 'berita', 'seliweran', 'kaya', 'nguras', 'duit', 'orang', 'anjir', 'pernah', 'liat', 'ada', 'yg', 'dikasih', 'pajak', 'lipat', 'dari', 'harga', 'barang']","['pengalaman', 'bea', 'cukai', 'kerjaannya', 'dah', 'liat', 'berita', 'seliweran', 'kaya', 'nguras', 'duit', 'orang', 'anjir', 'liat', 'dikasih', 'pajak', 'lipat', 'harga', 'barang']","['alam', 'bea', 'cukai', 'kerja', 'dah', 'liat', 'berita', 'seliwer', 'kaya', 'nguras', 'duit', 'orang', 'anjir', 'liat', 'kasih', 'pajak', 'lipat', 'harga', 'barang']"
wuiiih perpanjang kontrak dgn red spark megawati mendapatkan gaji  awas kang pajak menyapa nih suka gatel mereka,0,"['wuiiih', 'perpanjang', 'kontrak', 'dgn', 'red', 'spark', 'megawati', 'mendapatkan', 'gaji', 'awas', 'kang', 'pajak', 'menyapa', 'nih', 'suka', 'gatel', 'mereka']","['wuiiih', 'perpanjang', 'kontrak', 'red', 'spark', 'megawati', 'gaji', 'awas', 'kang', 'pajak', 'menyapa', 'suka', 'gatel']","['wuiiih', 'panjang', 'kontrak', 'red', 'spark', 'megawati', 'gaji', 'awas', 'kang', 'pajak', 'sapa', 'suka', 'gatel']"
ada kepastian di dunia ini kematian pajak bayer leverkusen bikin gol di menit terakhir,0,"['ada', 'kepastian', 'di', 'dunia', 'ini', 'kematian', 'pajak', 'bayer', 'leverkusen', 'bikin', 'gol', 'di', 'menit', 'terakhir']","['kepastian', 'dunia', 'kematian', 'pajak', 'bayer', 'leverkusen', 'gol', 'menit']","['pasti', 'dunia', 'mati', 'pajak', 'bayer', 'leverkusen', 'gol', 'menit']"
pemerintahan joe biden membakar uang pajak warga amerika di ukraina dgn pertahanan udara rusia telah menembak jatuh empat rudal jarak jauh buatan as di krimea pasukan ukraina dikabarkan berusaha menyerang krimea dgn atacms yg dipasok oleh washington,0,"['pemerintahan', 'joe', 'biden', 'membakar', 'uang', 'pajak', 'warga', 'amerika', 'di', 'ukraina', 'dgn', 'pertahanan', 'udara', 'rusia', 'telah', 'menembak', 'jatuh', 'empat', 'rudal', 'jarak', 'jauh', 'buatan', 'as', 'di', 'krimea', 'pasukan', 'ukraina', 'dikabarkan', 'berusaha', 'menyerang', 'krimea', 'dgn', 'atacms', 'yg', 'dipasok', 'oleh', 'washington']","['pemerintahan', 'joe', 'biden', 'membakar', 'uang', 'pajak', 'warga', 'amerika', 'ukraina', 'pertahanan', 'udara', 'rusia', 'menembak', 'jatuh', 'rudal', 'jarak', 'buatan', 'as', 'krimea', 'pasukan', 'ukraina', 'dikabarkan', 'berusaha', 'menyerang', 'krimea', 'atacms', 'dipasok', 'washington']","['perintah', 'joe', 'biden', 'bakar', 'uang', 'pajak', 'warga', 'amerika', 'ukraina', 'tahan', 'udara', 'rusia', 'tembak', 'jatuh', 'rudal', 'jarak', 'buat', 'as', 'krimea', 'pasu', 'ukraina', 'kabar', 'usaha', 'serang', 'krimea', 'atacms', 'pasok', 'washington']"
indonesia memburuk sangat cepat marilah bangkit saudarakuh selamat nkri apbn dari pajak kita dirampok rezim garong,0,"['indonesia', 'memburuk', 'sangat', 'cepat', 'marilah', 'bangkit', 'saudarakuh', 'selamat', 'nkri', 'apbn', 'dari', 'pajak', 'kita', 'dirampok', 'rezim', 'garong']","['indonesia', 'memburuk', 'cepat', 'marilah', 'bangkit', 'saudarakuh', 'selamat', 'nkri', 'apbn', 'pajak', 'dirampok', 'rezim', 'garong']","['indonesia', 'buruk', 'cepat', 'mari', 'bangkit', 'saudarakuh', 'selamat', 'nkri', 'apbn', 'pajak', 'rampok', 'rezim', 'garong']"
meretas iklan mengambil alih kereta bawah tanah sklmpk seniman gerilyawan meretas iklan di puluhan kereta bawah tanah new york mengubah konsumerisme menjadi alat kampanye salah satu bunyi iklannya uang pajak anda masih mendanai genosida yg berlangsung di gaza,0,"['meretas', 'iklan', 'mengambil', 'alih', 'kereta', 'bawah', 'tanah', 'sklmpk', 'seniman', 'gerilyawan', 'meretas', 'iklan', 'di', 'puluhan', 'kereta', 'bawah', 'tanah', 'new', 'york', 'mengubah', 'konsumerisme', 'menjadi', 'alat', 'kampanye', 'salah', 'satu', 'bunyi', 'iklannya', 'uang', 'pajak', 'anda', 'masih', 'mendanai', 'genosida', 'yg', 'berlangsung', 'di', 'gaza']","['meretas', 'iklan', 'mengambil', 'alih', 'kereta', 'tanah', 'sklmpk', 'seniman', 'gerilyawan', 'meretas', 'iklan', 'puluhan', 'kereta', 'tanah', 'new', 'york', 'mengubah', 'konsumerisme', 'alat', 'kampanye', 'salah', 'bunyi', 'iklannya', 'uang', 'pajak', 'mendanai', 'genosida', 'gaza']","['retas', 'iklan', 'ambil', 'alih', 'kereta', 'tanah', 'sklmpk', 'seniman', 'gerilyawan', 'retas', 'iklan', 'puluh', 'kereta', 'tanah', 'new', 'york', 'ubah', 'konsumerisme', 'alat', 'kampanye', 'salah', 'bunyi', 'iklan', 'uang', 'pajak', 'dana', 'genosida', 'gaza']"
bersenanglah kalian dgn pilihan kalian pertalite hilang pajak naik,0,"['bersenanglah', 'kalian', 'dgn', 'pilihan', 'kalian', 'pertalite', 'hilang', 'pajak', 'naik']","['bersenanglah', 'pilihan', 'pertalite', 'hilang', 'pajak']","['nang', 'pilih', 'pertalite', 'hilang', 'pajak']"
kl uang kuliah gak naik dosen dapet gaji dr mana gak gitu konsepnya woi pendidikan itu hak rakyat dan kewajiban negara menyediakan tetap suarakan pendidikan murah dan gaji gurudosen dengan layak daripada duit negara dimakan oknum pns dirjen pajak bpk kan,0,"['kl', 'uang', 'kuliah', 'gak', 'naik', 'dosen', 'dapet', 'gaji', 'dr', 'mana', 'gak', 'gitu', 'konsepnya', 'woi', 'pendidikan', 'itu', 'hak', 'rakyat', 'dan', 'kewajiban', 'negara', 'menyediakan', 'tetap', 'suarakan', 'pendidikan', 'murah', 'dan', 'gaji', 'gurudosen', 'dengan', 'layak', 'daripada', 'duit', 'negara', 'dimakan', 'oknum', 'pns', 'dirjen', 'pajak', 'bpk', 'kan']","['kl', 'uang', 'kuliah', 'dosen', 'dapet', 'gaji', 'dr', 'gitu', 'konsepnya', 'woi', 'pendidikan', 'hak', 'rakyat', 'kewajiban', 'negara', 'menyediakan', 'suarakan', 'pendidikan', 'murah', 'gaji', 'gurudosen', 'layak', 'duit', 'negara', 'dimakan', 'oknum', 'pns', 'dirjen', 'pajak', 'bpk']","['kl', 'uang', 'kuliah', 'dosen', 'dapet', 'gaji', 'dr', 'gitu', 'konsep', 'woi', 'didik', 'hak', 'rakyat', 'wajib', 'negara', 'sedia', 'suara', 'didik', 'murah', 'gaji', 'gurudosen', 'layak', 'duit', 'negara', 'makan', 'oknum', 'pns', 'dirjen', 'pajak', 'bpk']"
seorang penumpang merobek tas hermes palsu didepan petugas bea cukai yg dibelinya dgn harga jt daripada bayar pajak senilai juta usai tas dirobek lalu dibuang didepan petugas bea cukai soetta ketong sampah diapun bersumpah bahwa tas hermes miliknya itu merupakan tas palsu,0,"['seorang', 'penumpang', 'merobek', 'tas', 'hermes', 'palsu', 'didepan', 'petugas', 'bea', 'cukai', 'yg', 'dibelinya', 'dgn', 'harga', 'jt', 'daripada', 'bayar', 'pajak', 'senilai', 'juta', 'usai', 'tas', 'dirobek', 'lalu', 'dibuang', 'didepan', 'petugas', 'bea', 'cukai', 'soetta', 'ketong', 'sampah', 'diapun', 'bersumpah', 'bahwa', 'tas', 'hermes', 'miliknya', 'itu', 'merupakan', 'tas', 'palsu']","['penumpang', 'merobek', 'tas', 'hermes', 'palsu', 'didepan', 'petugas', 'bea', 'cukai', 'dibelinya', 'harga', 'jt', 'bayar', 'pajak', 'senilai', 'juta', 'tas', 'dirobek', 'dibuang', 'didepan', 'petugas', 'bea', 'cukai', 'soetta', 'ketong', 'sampah', 'diapun', 'bersumpah', 'tas', 'hermes', 'miliknya', 'tas', 'palsu']","['tumpang', 'robek', 'tas', 'hermes', 'palsu', 'depan', 'tugas', 'bea', 'cukai', 'bel', 'harga', 'jt', 'bayar', 'pajak', 'nila', 'juta', 'tas', 'robek', 'buang', 'depan', 'tugas', 'bea', 'cukai', 'soetta', 'tong', 'sampah', 'dia', 'sumpah', 'tas', 'hermes', 'milik', 'tas', 'palsu']"
klo rp miliar mah sedikit sekelas dirjen pajak itu beneran dilaporkan semua asetnya,0,"['klo', 'rp', 'miliar', 'mah', 'sedikit', 'sekelas', 'dirjen', 'pajak', 'itu', 'beneran', 'dilaporkan', 'semua', 'asetnya']","['rp', 'miliar', 'mah', 'sekelas', 'dirjen', 'pajak', 'beneran', 'dilaporkan', 'asetnya']","['rp', 'miliar', 'mah', 'kelas', 'dirjen', 'pajak', 'beneran', 'lapor', 'aset']"
