id_str,full_text
1786040009260445713, aku ga pernah punya pengalaman serupa tapi bea cukai tuh kerjaannya apaan dah? liat berita seliweran kaya nguras duit orang anjir pernah liat ada yg dikasih pajak 2x lipat dari harga barang https://t.co/JZxQ1A9O7D
1786085322604044347,Wujud Revolusi Mental: - Yang dihajar yang minta maaf. - Yang nyetor pajak yang diminta solusi. - Yang sipil yang disuruh menyelesaikan konflik. - Yang lurus yang digaslight buzzer. Ada lagi?
1786182532943479201,Lagi viral ! Pengusaha empek-empek di Palembang ditagih pajak bernilai fantastis sebesar 16 Milyar. Uedannn !! https://t.co/hZ0vDJ4rPJ
1785628643139698992,Tolak Bayar Pajak Pasangan Ini Pilih Robek Tas hermes Berharga Didepan Petugas Emng Semahal itu yaaa pajaknya ?? a thread https://t.co/wASwW2SZaU
1785206063916310954,Hukum bekerja dikantor pajak dan bea cukai https://t.co/8NY82xVRn7
1785156273081921757,uang pajak lu noh dipake buat bayar biduan https://t.co/GxbjlmV6A4
1785160108273807466,PK &amp; PM : 1. Bangun datar dasar 2. Aritmatika 3. Kartesius 4. Fungsi komposisi 5. Invers 6. Pertidaksamaan ( 3 soal ) 7. Flowchart 8. bunga tunggal 9. Diskon pajak ( di pm ) 10. Logaritma ( dasar ) 11. Algoritma pemrograman Esai : kayak sainsin Al Faiz
1785943303244157070,DUIT PAJAK SAYA ITU 
1784038200761352392,DIS! setega itu kemarin juga liat di titok kalo ada ibu ibu ngerobek tas hemez nya gara gara kzl dimintain pajak dia beli di Indonesia tasnya malah disuruh bayar pajak bea cukai pada saat balik dari luar negeri. https://t.co/Wk7jranbXG
1785969979747357035,Kasih kita pajak kayak orang Jerman Norway Swedia atau lebih tinggi sekalipun asalkan kita juga udah siap menerapkan hukum rajam ke pejabat korup dan keluarganya. Kalo penegakan hukum kayak skrg pajak makin tinggi mah mereka yg kaya dan kita yg makin melarat.
1785962926618407128,Terima kasih untuk #KawanPajak yang sudah ikut serta melaksanakan kewajiban perpajakan. Partisipasi pelaporan SPT Tahunan tahun ini semakin meningkat dari tahun sebelumnya! Mari terus tunjukkan semangat kolektif dalam memenuhi kewajiban perpajakan! https://t.co/lfJhmlAUQw
1785605076175945957,Gaji pegawai pajak gaes. Sedap gak? https://t.co/BZ45KCwRD6
