"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786040009260445713","Thu May 02 14:28:15 +0000 2024","9620"," aku ga pernah punya pengalaman serupa tapi bea cukai tuh kerjaannya apaan dah? liat berita seliweran kaya nguras duit orang anjir pernah liat ada yg dikasih pajak 2x lipat dari harga barang https://t.co/JZxQ1A9O7D","1786040009260445713","https://pbs.twimg.com/media/GMlJ685aAAASA6n.jpg","","in","","638","262","627","https://twitter.com/convomfs/status/1786040009260445713","1284061445148209154","convomfs"
"1786277896056864854","Fri May 03 06:13:32 +0000 2024","210","Wuiiih perpanjang kontrak dgn red spark Megawati mendapatkan gaji 2 4 M... Awas kang pajak menyapa nih... suka gatel mereka... https://t.co/EUQka187AC","1786277896056864854","https://pbs.twimg.com/ext_tw_video_thumb/1786277416199184384/pu/img/tgeRIjM5SnM1K3m2.jpg","","in","58%","3","58","81","https://twitter.com/toe_giman/status/1786277896056864854","1336576386987790336","toe_giman"
"1788725387201261835","Fri May 10 00:18:59 +0000 2024","156","Ada 3 kepastian di dunia ini: 1) Kematian 2) Pajak 3) Bayer Leverkusen bikin gol di menit terakhir.","1788725387201261835","","","in","Michuhol-gu, Republic of Korea","1","9","18","https://twitter.com/ardisatriawan/status/1788725387201261835","170542374","ardisatriawan"
"1786778563557163490","Sat May 04 15:23:00 +0000 2024","42","Pemerintahan Joe Biden membakar uang pajak warga Amerika di Ukraina dgn Pertahanan udara Rusia telah menembak jatuh empat rudal jarak jauh buatan AS di Krimea. Pasukan Ukraina dikabarkan berusaha menyerang Krimea dgn ATACMS yg dipasok oleh Washington. https://t.co/9RqYlmlABi","1786778563557163490","https://pbs.twimg.com/media/GMvpomIbkAAYrSE.jpg","","in","Indonesia","0","3","8","https://twitter.com/Vendra_Deje/status/1786778563557163490","384176072","Vendra_Deje"
"1788764422900732144","Fri May 10 02:54:06 +0000 2024","37","Indonesia memburuk sangat cepat marilah bangkit saudarakuh selamat NKRi APBN dari Pajak kita dirampok Rezim Garong. #GibranBabyNepotisme #GibranBabyNepotisme https://t.co/QnpX3GZnRr","1788764422900732144","https://pbs.twimg.com/media/GNL3w1Ja4AAHY7u.jpg","","in","","2","0","24","https://twitter.com/Raky4tB3rs4tu__/status/1788764422900732144","1629184074781954048","Raky4tB3rs4tu__"
"1788068834077020616","Wed May 08 04:50:05 +0000 2024","25","️ MERETAS IKLAN MENGAMBIL ALIH KERETA BAWAH TANAH: Sklmpk seniman gerilyawan meretas iklan2 di puluhan kereta bawah tanah New York mengubah konsumerisme menjadi alat kampanye: Salah satu bunyi iklannya : Uang pajak Anda masih mendanai genosida yg berlangsung di Gaza https://t.co/2wSxabGuHE","1788068834077020616","https://pbs.twimg.com/ext_tw_video_thumb/1788068792431775744/pu/img/cmUZvwqvn6P9cgwo.jpg","","in","","2","1","17","https://twitter.com/ok_samsul/status/1788068834077020616","1226448247","ok_samsul"
"1786751179407724936","Sun May 05 08:26:03 +0000 2024","31","@tvOneNews Bersenang²lah kalian dgn pilihan kalian... pertalite hilang pajak naik https://t.co/MlIz4jav2M","1787036020745339255","https://pbs.twimg.com/ext_tw_video_thumb/1787035976176730112/pu/img/CgU2yGE7VAC3uIBF.jpg","tvOneNews","in","","2","4","5","https://twitter.com/wiro_sableng321/status/1787036020745339255","1585859794082365440","wiro_sableng321"
"1788581481016918456","Thu May 09 14:47:09 +0000 2024","1310","Kl uang kuliah gak naik dosen dapet gaji dr mana? gak gitu konsep-nya woi. pendidikan itu hak rakyat dan kewajiban negara menyediakan. tetap suarakan pendidikan murah dan gaji guru-dosen dengan layak. daripada duit negara dimakan oknum PNS Dirjen Pajak/ BPK kan. ","1788581481016918456","","","in","Kota Bengkulu, Indonesia","19","55","406","https://twitter.com/direktoridosen/status/1788581481016918456","1901591046","direktoridosen"
"1786177561833484671","Thu May 02 23:34:50 +0000 2024","10","Seorang penumpang meROBEK tas Hermes palsu didepan petugas bea cukai yg dibelinya dgn harga 16jt Daripada bayar pajak senilai 26juta Usai tas dirobek lalu dibuang didepan PETUGAS bea cukai Soetta ketong sampah Diapun bersumpah bahwa tas Hermes miliknya itu merupakan tas palsu https://t.co/NGdkQXLfyy","1786177561833484671","https://pbs.twimg.com/ext_tw_video_thumb/1786177545232404480/pu/img/R2D_Ao-cehjVSGTJ.jpg","","in","INDONESIA","2","0","5","https://twitter.com/Candj09/status/1786177561833484671","1336091630","Candj09"
"1785997026498662406","Thu May 02 11:37:27 +0000 2024","430","Klo Rp51 miliar mah sedikit sekelas Dirjen Pajak. Itu beneran dilaporkan semua asetnya? https://t.co/ar7kc07RON","1785997026498662406","https://pbs.twimg.com/ext_tw_video_thumb/1785886220066951168/pu/img/UMiXCv1SKCWjDK00.jpg","","in","Indonesia","9","27","129","https://twitter.com/narkosun/status/1785997026498662406","84221579","narkosun"
