"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1788575956925562959","Thu May 09 14:25:12 +0000 2024","1857","Katanya sih pajak utk kesejahteraan rakyat https://t.co/daTrKAq7H7","1788575956925562959","https://pbs.twimg.com/media/GNJMWmJbIAA82xH.jpg","","in","Indonesia","78","237","624","https://twitter.com/berlianidris/status/1788575956925562959","230696471","berlianidris"
"1788825579565064560","Fri May 10 06:57:07 +0000 2024","73","Segel karena belum bayar pajak daerah bukannya tugas dispenda aja?kok ini malah KPK ikutan nyegel?apa tupoksi baru dampingi dispenda? https://t.co/WqMeBIPuhq","1788825579565064560","https://pbs.twimg.com/ext_tw_video_thumb/1788823881958236160/pu/img/JgavJD9azafCKIVs.jpg","","in","Planeta Rica, Colombia","2","20","32","https://twitter.com/5teV3n_Pe9eL/status/1788825579565064560","224431376","5teV3n_Pe9eL"
"1788853183563055332","Fri May 10 08:46:48 +0000 2024","44","makan seblak di holycow guis murah &amp; enaaak! kuahnya udah inc telur jd ga perlu beli topping telur lagi untuk topping ceker cekernya tanpa tulang. rasanya enaaak &amp; pas menurut sender. harga toppingnya ga mahal kok segini 1 mangkuk 18k udh sama pajak https://t.co/bh0klYrWN7","1788853183563055332","https://pbs.twimg.com/media/GNNIfEHa0AABEwt.jpg","","in","pengaduan ","3","10","2","https://twitter.com/FOOD_FESS/status/1788853183563055332","619030243","FOOD_FESS"
"1785943303244157070","Thu May 02 08:03:59 +0000 2024","6508","DUIT PAJAK SAYA ITU ","1785943303244157070","","","in","Jakarta","15","124","1687","https://twitter.com/ernestprakasa/status/1785943303244157070","16882261","ernestprakasa"
"1788576056175178173","Thu May 09 14:25:36 +0000 2024","611","Ten jeden pająk w kącie twojego pokoju #sabotażysta https://t.co/y7YoTttb3a","1788576056175178173","https://pbs.twimg.com/media/GNJMZTvWQAA2Sgj.jpg","","pl","","0","0","17","https://twitter.com/calixx_099/status/1788576056175178173","1731215704748077056","calixx_099"
"1786023135684571363","Thu May 02 13:21:12 +0000 2024","329","Tas hermes mahal dirobek krn ga mau bayar bea masuk/pajak sebesar Rp26 juta. Mungkin daripada disita Bea Cukai mending rusakin aja. https://t.co/dPNbvGa3dp","1786023135684571363","https://pbs.twimg.com/ext_tw_video_thumb/1786023083570327552/pu/img/HsJJhV2XXZ3MTpV-.jpg","","in","Indonesia","6","33","91","https://twitter.com/narkosun/status/1786023135684571363","84221579","narkosun"
"1786071094258250099","Thu May 02 16:31:47 +0000 2024","8","Gila............................................ Harga barang Rp 16 juta..... Pajak Rp 26 juta..... https://t.co/FD490YOcAs","1786071094258250099","https://pbs.twimg.com/ext_tw_video_thumb/1785831349015990272/pu/img/xtUOdCZoVnULNTKb.jpg","","in","Indonesia","1","0","3","https://twitter.com/____hbb/status/1786071094258250099","1065497412934938624","____hbb"
"1788764551087099937","Fri May 10 02:54:37 +0000 2024","79","Bismillah Woi Rakyat 58% Pemilih Keberlanjutan dengerin mba nya nih kasih masukan : Kalian yee bayar Pajak buat Bantu Pembangunan IKN untuk Tempat Mewahnya Para Pejabat Menteri !! Lha Kalian dpt apa ?? Oh iya aku lupa... Kalian dpt Bansos &amp; makan siang gratis kan https://t.co/MI1d8cIrTj","1788764551087099937","https://pbs.twimg.com/ext_tw_video_thumb/1788764492660350976/pu/img/u7BYDbHtFaA3Rub3.jpg","","in","","2","3","50","https://twitter.com/NinzExe07/status/1788764551087099937","1651123026203901952","NinzExe07"
"1788738420510191655","Fri May 10 01:10:47 +0000 2024","75"," Terlahirnya dinasti Pak Wiwi menjadi kontroversi menjelang pemilu. Maafkan bila rakyatmu teriak keras tak mampu beli beras. BBM naik tinggi pajak naik lagi Para tikus tarik subsidi hidup kami kurang gizi. (Iwan Fals) #GibranBabyNepotisme #GibranBabyNepotisme https://t.co/EsOHjvP4Uj","1788738420510191655","https://pbs.twimg.com/ext_tw_video_thumb/1788738115685044224/pu/img/Dbli3SzcVb8oar70.jpg","","in","","0","3","47","https://twitter.com/MichelAdam7__/status/1788738420510191655","1647311678160384007","MichelAdam7__"
"1788191324572889265","Wed May 08 12:56:49 +0000 2024","88","Kemenangan Prabowo Gibran tak bawa kebahagiaan dan keberkahan walaupun blm dilantik terbukti dampaknya harga 2 kebutuhan pokok Naik Kuliah Makin Mahal pajak naik dan masih banyak lagi walaupun skrg masih Rezim Jokowi berkuasa tapi 02 kan mengklaim keberlanjutan Ok gas https://t.co/1FQOYviEpF","1788191324572889265","https://pbs.twimg.com/ext_tw_video_thumb/1788191267165478912/pu/img/3Y_b8BcAWKJSPQrp.jpg","","in","","1","13","35","https://twitter.com/165Hati/status/1788191324572889265","1752532657639165952","165Hati"
