conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1785153135859978655,Tue Apr 30 03:44:08 +0000 2024,1771,. . Jinggaaannn Kita susah payah Kerja bayar pajak .. Duitnya dipake buat bayar LC ??!!! Skali Transfer 100 JUTA ??!!! Annyyiinnnggg . . https://t.co/O3d9EiWZBt,1785153135859978655,https://pbs.twimg.com/media/GMYjT3ibYAAUQTJ.jpg,,in,Bermuda Triangle,110,269,829,https://twitter.com/StefanAntonio__/status/1785153135859978655,1529491450605768704,StefanAntonio__
1783309567272931408,Thu Apr 25 01:38:27 +0000 2024,18000,Bayangin elu: - Tiap bulan gajinya dipotong pajak - Tiap belanja ada pajaknya - Tiap makan di restoran ada pajaknya - Masuk tempat wisata ada retribusinya - Rumah kena pajak - Kendaraan kena pajak - Bikin rumah ibadah kena pajak - Kena denda segitu banyaknya dari,1783309567272931408,,,in,"Michuhol-gu, Republic of Korea",296,494,9080,https://twitter.com/ardisatriawan/status/1783309567272931408,170542374,ardisatriawan
1785142923224567967,Tue Apr 30 03:03:33 +0000 2024,37,STOP BAYAR PAJAK BIAR PENDUKUNG 02 AJA YANG RASAIN BAYAR PAJAK... GAK MASALAH MOTOR SAYA JADI BODONG TOH YANG PUNYA IJAZAH BODONG AMAN AMAN SAJA....‼️ #RevolusiRakyatBelaNKRI #RevolusiRakyatBelaNKRI 🆘🆗 https://t.co/azQE88qgoI,1785142923224567967,https://pbs.twimg.com/ext_tw_video_thumb/1785142658631118848/pu/img/GPKfMnWWPeGOjhW2.jpg,,in,,2,2,22,https://twitter.com/ArdieSuhardi321/status/1785142923224567967,1773641343858024448,ArdieSuhardi321
1784513917366190456,Sun Apr 28 09:24:07 +0000 2024,10928, Anies Akan Kejar Pajak 100 Orang Terkaya di Indonesia Because most of them have been granted privileges by negara. https://t.co/FINhM0tr24,1784513917366190456,https://pbs.twimg.com/ext_tw_video_thumb/1784513754803384320/pu/img/-ouixOe4bSNrgHj6.jpg,,in,I’m bubur | Turn on our notifs,66,45,2147,https://twitter.com/aniesbubble/status/1784513917366190456,753119307937280000,aniesbubble
1785525089884393594,Wed May 01 04:22:09 +0000 2024,4, Berhubung yang jadi presiden 02 saya gak ikutan bayar pajak. Biarin kendaraan bodong toh pemakai ijazah bodong aman aman saja. Setuju kah? #GerakanAntiJokowi #GerakanAntiJokowi https://t.co/OWNFv1PNAI,1785525089884393594,https://pbs.twimg.com/ext_tw_video_thumb/1785525058074763264/pu/img/YKqzskcAaJY60RVi.jpg,,in,,0,0,4,https://twitter.com/J4j4h4nAs3ng2/status/1785525089884393594,1647464086878433281,J4j4h4nAs3ng2
1782960149935894946,Wed Apr 24 02:30:00 +0000 2024,6379,Masih ingat Paradise Paper? Paradise Paper merupakan sebuah dokumen keuangan yang mengungkap data keuangan orang-orang kaya di seluruh dunia yang menanamkan investasi di luar negeri untuk mendapat pajak rendah. Prabowo Subianto salah satunya. #UtasMILD #ParadisePaper https://t.co/N5PX3MQAeZ,1782960149935894946,https://pbs.twimg.com/media/GL5YdxBbkAAJmtB.jpg,,in,Indonesia,122,95,1780,https://twitter.com/TirtoID/status/1782960149935894946,4187275698,TirtoID
1785521546968301989,Wed May 01 04:08:04 +0000 2024,36,Jadi dengan banyaknya kasus korupsi/ngemplang pajak di negara ini kamu masih bakalan gampang silau gak ketemu orang yg biaya hidupnya terlihat mewah?,1785521546968301989,,,in,Indonesia,2,16,11,https://twitter.com/ezash/status/1785521546968301989,105080250,ezash
1785167991153496518,Tue Apr 30 04:43:10 +0000 2024,133,Bismillah @prabowo merasa terhormat karna mewarisi hutang Negara sebesar 8.250 T dr @jokowi Yg data Uang Negara 11.000 T di kantong Jokowi di wariskan jg ngga?! Jgn pura² Lupa donk !! Masa Rakyat nanti yg mau di suruh byr lewat naiknya Pajak &amp; Bahan Pokok ?! Enak aja !! https://t.co/ctd1p1Lau8,1785167991153496518,https://pbs.twimg.com/ext_tw_video_thumb/1785167962758168576/pu/img/C4dCRc8QW1Z_5YcT.jpg,,in,,8,29,67,https://twitter.com/NinzExe07/status/1785167991153496518,1651123026203901952,NinzExe07
1784948490281619923,Mon Apr 29 14:10:57 +0000 2024,308,Tidak diragukan lagi kebaikan hati orang Indonesia bahkan calon pemimpin yg nantinya akan menaikkan pajak menaikkan harga BBM dan TDL serta menyengsarakan mereka saja tetap mereka pilih. Betul gak? https://t.co/rtb0wZ4qqb,1784948490281619923,https://pbs.twimg.com/ext_tw_video_thumb/1784948437873778688/pu/img/x7JCipNK3ggN82Ec.jpg,,in,,8,23,149,https://twitter.com/vanc1Bozz/status/1784948490281619923,1622484956151975937,vanc1Bozz
1785331941505728912,Tue Apr 30 15:37:36 +0000 2024,3005,Tolonglah pemerintah banyak yang bikin pemalsuan surat miskin begini harusnya dicek dulu njop keluarganya bupot pajak atas penghasilan ortunya disitu penghasilan satu tahun jelas tertera gaakan bisa diubah2 kok gini sihhhhhh sistem kalian!!!!,1785332683398427055,,riansazyn,in,Jakarta Capital Region,38,13,134,https://twitter.com/riansazyn/status/1785332683398427055,1421029360417398787,riansazyn
1784403220787556735,Sun Apr 28 02:04:15 +0000 2024,15326,Ada. Stop malakin kelas menengah maksimalkan pendapatan negara dengan memastikan para konglomerat &amp; crazy rich semuanya taat pajak. ,1784403220787556735,,,in,Jakarta,257,562,5815,https://twitter.com/ernestprakasa/status/1784403220787556735,16882261,ernestprakasa
1785331711850795112,Tue Apr 30 15:33:44 +0000 2024,365,PK &amp; PM : 1. Bangun datar dasar 2. Aritmatika 3. Kartesius 4. Fungsi komposisi 5. Invers 6. Pertidaksamaan ( 3 soal ) 7. Flowchart 8. bunga tunggal 9. Diskon pajak ( di pm ) 10. Logaritma ( dasar ) 11. Algoritma pemrograman Esai : kayak sainsin Al Faiz,1785331711850795112,,,in,kirim menfess →,2,1,50,https://twitter.com/snbtfess/status/1785331711850795112,1515005472146812932,snbtfess
1783360593862521320,Thu Apr 25 05:01:13 +0000 2024,15636,Salah satu peraturan unik di Indonesia adalah bayar pajak kendaraan harus bawa KTP yang sesuai sama nama di STNK. Nah kalo kita beli udah tangan ke 2-3-4 dst dimana kita mau minjem KTP nya? Padahal logikanya kita ke Samsat adalah dalam rangka bayar pajak alias keluarin uang https://t.co/CwSkAKPj4y,1783360593862521320,https://pbs.twimg.com/media/GL_E_5XaoAARhCu.jpg,,in,,1056,3072,5821,https://twitter.com/MasMasBiassaa/status/1783360593862521320,1544688618534408192,MasMasBiassaa
1783709903154213109,Fri Apr 26 04:09:15 +0000 2024,1391,Bismillah 58 % Rakyat Memilih Keberlanjutan makanya PPN naik 12 % Nama kalian yg 58 % memilih Paslon 02 itu dipakai sbgi alasan utk menaikkan pajak! ENAK NGGA ?! PPN itu pajak jual beli loe beli apa aja kena pajak nya. Kita rakyat semua nih kena getahnya ! Ngerti ngga ⁉️ https://t.co/jH21XF93uP,1783709903154213109,https://pbs.twimg.com/ext_tw_video_thumb/1783709830781493248/pu/img/cJbRDb-rvWPyK066.jpg,,in,,79,239,763,https://twitter.com/NinzExe07/status/1783709903154213109,1651123026203901952,NinzExe07
