"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785156273081921757","Tue Apr 30 03:56:36 +0000 2024","12448","uang pajak lu noh dipake buat bayar biduan https://t.co/GxbjlmV6A4","1785156273081921757","https://pbs.twimg.com/media/GMYmKirbMAA46Bp.jpg","","in","BINTANG KEJORA","825","1026","3748","https://twitter.com/txtdrimedia/status/1785156273081921757","1300484934449000448","txtdrimedia"
"1785206063916310954","Tue Apr 30 07:14:27 +0000 2024","667","Hukum bekerja dikantor pajak dan bea cukai https://t.co/8NY82xVRn7","1785206063916310954","https://pbs.twimg.com/ext_tw_video_thumb/1785206005799997440/pu/img/6Xtpfs1KDZd3d6HI.jpg","","in","Indonesia","43","71","222","https://twitter.com/fotodakwah/status/1785206063916310954","105428309","fotodakwah"
"1785426877919752406","Tue Apr 30 21:51:53 +0000 2024","1813","Mau pajak 100% juga kalau pejabatnya macam SYL percuma aja.","1785426877919752406","","","in","Michuhol-gu, Republic of Korea","6","27","730","https://twitter.com/ardisatriawan/status/1785426877919752406","170542374","ardisatriawan"
"1784839504605687941","Mon Apr 29 06:57:53 +0000 2024","6719","Biar makin kesel setiap mau bayar pajak liat diagram ini untuk tau uang kita digunakan untuk apa aja https://t.co/nQCWCmcDqZ","1784839504605687941","https://pbs.twimg.com/media/GMUGEgmaYAArPy4.jpg","","in","Asmaraloka","1264","657","4107","https://twitter.com/FunJunkies/status/1784839504605687941","237530329","FunJunkies"
"1785159996873101813","Tue Apr 30 04:11:51 +0000 2024","4846","PK &amp; PM : 1. Bangun datar dasar 2. Aritmatika 3. Kartesius 4. Fungsi komposisi 5. Invers 6. Pertidaksamaan ( 3 soal ) 7. Flowchart 8. bunga tunggal 9. Diskon pajak ( di pm ) 10. Logaritma ( dasar ) 11. Algoritma pemrograman Esai : kayak sainsin Al Faiz","1785160108273807466","","lrenxnj","in","","97","36","1035","https://twitter.com/lrenxnj/status/1785160108273807466","1277849559859777539","lrenxnj"
"1785210240402874879","Tue Apr 30 07:31:03 +0000 2024","162","Seating Plan untuk RIIZE Fan-Con: RIIZING DAY in Jakarta udah keluar nih BRIIZE Kalian rencana mau di cat apa nih? Harga setelah pajak: CAT 1A B: Rp. 3.105.000 CAT 1C D : Rp. 2.645.000 CAT 2 : Rp. 2.530.000 CAT 3 : Rp. 1.955.000 CAT 4 : 1.437.500 https://t.co/AcnYJbq1BU","1785210240402874879","https://pbs.twimg.com/media/GMZXP3haIAAqmGa.jpg","","in","Indonesia","71","12","62","https://twitter.com/RIIZEINAUNION/status/1785210240402874879","1689280631400759301","RIIZEINAUNION"
"1785333772264915195","Tue Apr 30 15:41:55 +0000 2024","179","Untuk sekali tampil bayar biduan sekitar Rp 50 hingga Rp 100 juta Ketika Mentan ada acara selalu panggil penyanyi. Uang negara kok dipakai semaunya sendiri. Rakyat yg susah payah bayar pajak pejabatnya malah menari-naridiatas penderitaan rakyat. https://t.co/HRkz77KbDg","1785333772264915195","https://pbs.twimg.com/ext_tw_video_thumb/1785333726542708736/pu/img/6ReqrRsGq5v-9T26.jpg","","in","Indonesia","9","27","121","https://twitter.com/Jumianto_RK/status/1785333772264915195","903306838552092672","Jumianto_RK"
"1785543941976404334","Wed May 01 05:37:04 +0000 2024","0","Siang min @kring_pajak sudah seminggu lebih daftar npwp tapi belum dapet email file kartu npwp. https://t.co/MZwG6pDKdT","1785543941976404334","https://pbs.twimg.com/media/GMeGvxmaUAAUi10.jpg","","in","Malang, Jawa Timur","0","0","0","https://twitter.com/ArulEfansyah18/status/1785543941976404334","1136313818957533184","ArulEfansyah18"
"1785322366421377375","Tue Apr 30 14:56:36 +0000 2024","365","PPATK menemukan uang anggaran proyek PSN 500T masuk ke kantong pejabat @jokowi Bancakan APBN nih ye...? Bagaimana kasus gratifikasi pajak 3000 triliun menkeu anda jeng sri Mulyani....? Kok mendem....??? Dolar tinggi sebab negara dimiskinkan anda dan pejabatnya...! Parah...! https://t.co/x1tR0gbFCx","1785322366421377375","https://pbs.twimg.com/ext_tw_video_thumb/1785321479821025281/pu/img/MCoLjOITQjAZtymA.jpg","","in","","10","20","262","https://twitter.com/H4T14K4LN4L42/status/1785322366421377375","1129672753651388416","H4T14K4LN4L42"
"1785142923224567967","Tue Apr 30 03:03:33 +0000 2024","37","STOP BAYAR PAJAK BIAR PENDUKUNG 02 AJA YANG RASAIN BAYAR PAJAK... GAK MASALAH MOTOR SAYA JADI BODONG TOH YANG PUNYA IJAZAH BODONG AMAN AMAN SAJA....‼️ #RevolusiRakyatBelaNKRI #RevolusiRakyatBelaNKRI 🆘🆗 https://t.co/azQE88qgoI","1785142923224567967","https://pbs.twimg.com/ext_tw_video_thumb/1785142658631118848/pu/img/GPKfMnWWPeGOjhW2.jpg","","in","","2","2","22","https://twitter.com/ArdieSuhardi321/status/1785142923224567967","1773641343858024448","ArdieSuhardi321"
